totalProductionkWh;totalConsumptionkWh
56.6014270674;73.921
65.6797405472;74.994
58.2278917338;72.539
60.5778926661;74.167
50.1509375581;74.441
58.0763074922;75.125
57.1227908245;73.894
60.9656581231;73.694
66.8331515614;73.8
65.6797785275;73.471
58.6934240837;74.991
56.6014707289;72.411
58.6934240837;72.775
45.1087516725;76.384
60.9656545023;73.947
44.1200527518;72.292
58.2278723885;73.713
60.048484406;73.187
57.4359334505;74.308
60.9656343994;73.463
58.333846126;72.291
66.2053901827;75.917
60.9656343994;72.928
62.4109783205;72.234
65.6797588751;75.043
67.2431756627;74.02
57.1227658129;73.483
57.1227658129;73.884
57.0488192822;72.951
50.5025234861;72.473
58.2278528356;75.244
60.0484592914;72.457
55.3373218116;74.151
50.1509300788;74.682
67.2431947251;74.982
65.6797765676;74.381
58.8845232273;73.565
59.9576293826;72.993
52.6831237044;74.658
58.8845514927;74.272
44.1200715357;76.437
57.4359520386;72.931
57.8516607386;75.042
57.1228036161;74.804
67.2432141234;74.835
56.6014712062;76.572
58.0763041433;74.103
50.1509336688;73.873
59.7149015645;73.79
50.5025330638;72.627
67.2431870242;73.992
56.6014597214;76.07
55.3373562463;74.743
43.8876111161;73.926
57.8516675804;74.071
50.5024809488;74.321
52.6830580037;73.452
59.7148521204;73.551
44.1200244292;74.275
52.6830708387;72.721
58.6933652766;75.468
57.0487843109;73.092
57.4359441585;72.87
58.0762955132;74.734
67.2431870918;73.155
58.0762955132;74.521
60.9656456663;73.872
45.1087441599;75.965
58.6934527047;74.103
67.2432250716;72.01
45.1087744522;73.942
60.0485326255;74.055
62.411023436;72.12
50.1509625386;73.965
60.5778952966;75.684
57.8516669835;73.111
58.7063128083;73.051
57.8516198587;72.783
67.2431483629;74.581
58.6933734171;72.21
60.9656111959;74.45
50.1508795461;73.12
66.2053618805;73.708
57.0487812691;74.412
67.1804146045;75.159
67.1804146045;73.295
50.5024905927;73.318
57.2593048717;72.477
60.5778316921;73.188
66.2053863086;74.065
57.8516384733;74.977
67.2431702731;73.863
59.8990828506;74.776
58.0762808492;73.422
59.9576045813;73.897
57.4359202024;71.706
57.0488025218;73.877
44.1200399234;72.561
56.6014308575;73.057
59.899103458;73.765
