totalProductionkWh;totalConsumptionkWh
98.4756756556;57.386
75.5487809543;55.125
94.4638807541;56.369
99.3942982471;54.762
102.775036925;55.958
95.6997167104;53.588
110.284620742;53.867
99.7352035234;54.536
98.4757103973;56.424
95.6997416427;56.049
97.5574577041;55.669
99.1070384185;52.883
98.475681739;56.636
110.284628355;55.412
96.2903968176;55.806
107.904552836;56.089
102.775043149;57.232
99.0094154719;55.165
90.0078017917;56.413
95.0523591223;53.92
75.5487879483;54.889
97.5574299263;56.946
95.0523636322;54.895
90.0078051252;57.332
90.1046610167;53.72
96.6957493048;56.003
94.9898857946;55.371
99.3943094353;56.638
94.4638895906;55.168
95.6997250065;55.557
75.4258039073;54.054
87.0172572809;55.92
94.9898739257;56.644
98.4756737219;54.609
109.223082147;53.976
75.4257936241;55.777
98.4756737219;55.403
94.4638789124;55.585
76.2321023946;55.359
87.0172439295;54.742
94.9898739257;54.717
99.0094076675;55.076
95.0523712783;52.555
89.1406073292;55.711
99.3943225082;55.076
99.0094238636;54.871
107.904563732;56.54
100.70715311;56.366
96.4778310563;53.954
96.4778310563;55.185
75.548806601;54.9
102.77505449;54.878
95.6997295865;55.109
90.1046724119;55.068
95.7039178757;54.822
107.904563732;54.121
75.425816166;56.806
87.0172740918;53.807
85.5517270037;55.85
102.775088055;57.708
99.7352189456;55.882
95.7039554254;55.178
75.4258451606;55.869
90.0078277738;56.023
107.904597815;56.766
109.223093321;55.388
111.391670284;53.488
87.0172670968;53.549
87.0172670968;56.405
95.0523675171;54.208
97.557467154;55.158
87.0173051872;54.427
75.5488342793;54.675
107.904589845;56.258
102.775080352;56.459
89.1406146423;54.042
99.1070333714;55.204
100.981255206;54.61
100.618078085;55.552
76.2321320716;55.405
96.6957820871;54.528
87.0173039947;56.877
111.391710106;56.737
96.6957820871;55.161
95.05239929;53.734
98.4757291496;55.792
90.0078285954;56.063
89.1406410908;56.317
96.2904508076;54.67
75.5488447304;56.275
95.703954384;55.002
95.703954384;54.382
95.703954384;54.942
76.2321547293;56.577
95.0524049764;54.999
97.5574741437;56.792
95.7900983913;53.735
95.703954384;55.212
99.0094550916;56.448
96.6957873092;55.783
