totalProductionkWh;totalConsumptionkWh
98.5047161132;50.312
109.565005948;49.241
100.282230831;47.658
100.282230831;49.979
109.648809861;47.32
84.2681292355;48.427
98.5047161132;49.784
119.169602482;47.954
106.168654716;48.764
103.590656788;48.0
97.0392411925;48.984
110.385940881;50.1
107.892824577;49.586
104.51194343;48.85
106.015694521;48.687
97.5478536809;48.714
104.124928184;49.199
108.151277493;46.803
109.648809861;50.103
94.6358254257;48.911
109.648809861;49.184
100.282230831;49.333
84.2681292355;48.911
105.798857488;48.545
106.168658368;51.625
106.168658368;48.305
114.718470531;49.534
106.572816477;49.171
84.3560501972;49.729
106.168658368;50.062
105.241168548;48.877
119.169606781;49.181
94.6358275169;49.774
104.166951584;48.345
84.2681309515;50.335
108.151280211;48.168
104.124931163;49.305
109.565009241;47.985
104.166951584;49.676
98.0451917883;48.454
104.166960091;48.925
105.798873134;50.168
84.3560614013;48.33
97.03925724;50.455
104.124939037;49.27
107.801849663;49.582
107.801849663;49.033
97.54786272;49.039
109.565037928;48.543
109.262477156;48.944
107.89285278;50.114
84.3560801302;50.163
97.039280826;50.713
119.169637463;49.585
84.2681636967;48.8
117.841896056;48.741
105.798858349;50.535
108.151279128;48.075
110.385942618;48.802
103.5906595;48.688
97.0392410957;48.111
107.801841012;49.335
106.168658243;50.303
107.801841012;48.107
97.5478564903;48.357
110.385942618;48.61
105.241168049;48.291
115.409306043;50.155
102.986807247;49.73
106.168652037;50.0
84.2681149341;48.637
106.57280139;47.783
97.5478514569;48.892
104.124923465;48.946
115.409303594;49.586
104.124923465;48.413
119.169596513;50.098
84.356035556;49.565
105.798843637;49.089
103.59065118;50.325
105.241159657;48.527
84.3319186896;48.898
114.71846477;48.469
110.385930857;50.157
104.16694354;48.873
109.648796882;48.248
106.015682856;50.41
102.986807247;49.93
115.409330636;49.921
98.504732993;48.703
84.3319448625;49.66
84.3319448625;47.917
98.0452095593;48.406
106.015713923;49.674
109.648829474;50.317
106.015713923;49.247
84.3319459924;49.548
106.168667879;49.637
97.0392627534;49.341
84.3319459924;47.414
