totalProductionkWh;totalConsumptionkWh
94.2414627806;55.172
90.0968016548;55.359
95.3138582111;56.783
89.8522480268;54.918
84.8695211054;55.625
70.4062185001;55.281
90.5985354996;53.325
91.1628555821;56.825
95.3138411164;55.441
95.3760150883;56.213
94.5061600928;55.146
85.9282616788;55.671
70.7881536602;56.032
94.2414477847;54.709
84.0923670362;56.961
105.385054786;56.063
104.34899096;56.31
89.4029160126;55.64
89.8522318288;54.467
84.0923670362;56.352
94.2414477847;55.444
90.41068144;55.603
102.446242091;56.702
93.2339038628;54.657
93.2338853916;54.608
93.2338853916;55.099
70.7881349016;54.741
80.6385917168;54.548
97.4751528106;56.071
94.2414319882;54.471
94.5061432805;54.882
95.3759942828;55.094
90.8897014258;55.288
70.4061773359;53.727
102.446222625;55.153
104.34896703;53.547
89.402938243;55.561
95.3138616233;54.772
70.7881705984;54.634
91.1628593432;55.733
94.2414671289;57.639
90.096804966;55.906
93.2339233944;55.673
89.5899995332;55.556
81.2030665942;54.26
70.7881705984;55.755
95.3760364963;56.327
90.096804966;54.322
81.2030665942;55.913
104.34635417;55.376
70.7881705984;53.814
85.9282761086;54.624
104.349031105;55.024
89.8522628064;54.525
105.170625279;55.12
90.889749181;54.381
94.083407131;55.83
80.6386155618;55.328
89.4029235617;55.727
94.2414538476;56.127
95.376022068;55.228
92.2039082478;54.97
93.2339101893;55.981
85.9282660905;55.736
70.7881532828;55.39
84.092367185;54.559
89.4029153272;56.598
105.385055514;57.684
80.6386098051;55.953
94.5061609705;55.833
93.2339042915;56.421
97.4751730417;55.764
89.4029218968;54.538
81.203050405;56.029
104.348997374;55.599
91.5556105846;54.378
95.233258937;56.561
90.8897239664;55.073
80.6386143228;55.361
90.4106869231;53.739
70.7881455078;56.164
84.0923592541;57.694
70.7881455078;55.727
70.7881455078;53.578
89.5899756421;55.648
94.0833942301;56.413
93.2338963755;54.706
90.5985074524;55.822
102.446256702;55.723
81.2030603329;55.915
81.2030603329;54.047
94.2414602962;53.42
93.2339592008;56.381
95.376077127;56.426
84.092422624;56.613
105.170659106;54.507
90.0967892997;54.808
71.1993527808;53.971
85.9282639546;56.355
90.0967892997;54.452
